Index,Institution,records,Share.of.133800.x,Long,Lat,Address
20,BERG UNIV WUPPERTAL,466,0.092,7.16755,51.27027,BERG UNIV WUPPERTAL
21,BOEHRINGER INGELHEIM GMBH COMPANY KG,249,0.049,75,41,BOEHRINGER INGELHEIM GMBH COMPANY KG
22,BOGAZICI UNIVERSITY,452,0.089,28.94966,41.01384,"BOGAZICI UNIVERSITY, Istanbul, Turkey"
23,BOSTON UNIVERSITY,1120,0.222,-71.10477,42.33399,BOSTON UNIVERSITY
24,BRANDEIS UNIVERSITY,506,0.1,-71.25783,42.36676,BRANDEIS UNIVERSITY
25,BRITISH COLUMBIA CANC AGCY,409,0.081,-116.0019,50.5402,BRITISH COLUMBIA CANC AGCY
26,BROAD INSTITUTE,247,0.049,-70.99613,42.25476,"BROAD INSTITUTE, Cambridge, Massachusetts"
27,BROCK UNIVERSITY,431,0.085,-84.49983,49.25014,"BROCK UNIVERSITY, Ontario Canada"
28,BROOKHAVEN NATIONAL LABORATORY,632,0.125,-72.8701,40.88343,BROOKHAVEN NATIONAL LABORATORY
29,BROWN UNIVERSITY,424,0.084,-71.39756,41.82621,BROWN UNIVERSITY
30,UNIVERSITY OF MARRAKECH CADI AYYAD,386,0.076,-7.99994,31.63416,"Cadi Ayyad University, Marrakesh, Morocco"
31,CALIFORNIA INSTITUTE OF TECHNOLOGY,1007,0.199,-118.12574,34.13794,CALIFORNIA INSTITUTE OF TECHNOLOGY
32,CALIFORNIA STATE UNIVERSITY FRESNO,409,0.081,-119.74663,36.81256,CALIFORNIA STATE UNIVERSITY FRESNO
34,CANADIAN BLOOD SERV,292,0.058,-75.69812,45.41117,"CANADIAN BLOOD SERVices, Ottawa, Canada"
35,CANADIAN INST ADV RES,623,0.123,-58.98389,-27.46056,CANADIAN INST ADV RES
36,CANADIAN INST THEORET ASTROPHYS,210,0.042,-79.4163,43.70011,"Canadian Institute for Theoretical Astrophysics, Toronto"
37,CANC CARE ONTARIO,598,0.118,-84.49983,49.25014,CANC CARE ONTARIO
38,CARDIFF UNIVERSITY,538,0.106,-3.17505,51.47112,CARDIFF UNIVERSITY
39,CARLETON UNIVERSITY,819,0.162,-75.69636,45.38649,CARLETON UNIVERSITY
40,CARNEGIE MELLON UNIVERSITY,339,0.067,-79.94283,40.44118,CARNEGIE MELLON UNIVERSITY
41,CASE WESTERN RESERVE UNIVERSITY,522,0.103,-81.59707,41.5045,CASE WESTERN RESERVE UNIVERSITY
43,CEDARS SINAI MEDICAL CENTER,524,0.104,2.16667,7.25,CEDARS SINAI MEDICAL CENTER
44,CENTERS FOR DISEASE CONTROL PREVENTION USA,207,0.041,-73.521389,40.909095,CENTERS FOR DISEASE CONTROL PREVENTION USA
45,CENTRE FOR ADDICTION MENTAL HEALTH CANADA,3419,0.677,-113.64258,60.10867,CENTRE FOR ADDICTION MENTAL HEALTH CANADA
46,CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS CHUV,243,0.048,2.4,47.0833,CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS CHUV
47,CTR NATL ENERGIE SCI TECH NUCL,351,0.069,2.4,47.0833,"Centre National de l'Energie des Sciences et Techniques Nuclaires, Rabat, Morocco"
48,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,2371,0.469,2.4,47.0833,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS
49,CHAIM SHEBA MEDICAL CENTER,243,0.048,2.16667,7.25,CHAIM SHEBA MEDICAL CENTER
50,CHARITE MEDICAL UNIVERSITY OF BERLIN,564,0.112,13.41377,52.5233,CHARITE MEDICAL UNIVERSITY OF BERLIN
51,CHARLES UNIVERSITY PRAGUE,750,0.148,14.42076,50.08804,CHARLES UNIVERSITY PRAGUE
52,CHILDREN S MEDICAL RESEARCH INSTITUTE AUSTRALIA,244,0.048,135,-25,CHILDREN S MEDICAL RESEARCH INSTITUTE AUSTRALIA
53,CHILDRENS HOSPITAL OF PHILADELPHIA,678,0.134,-75.16379,39.95234,CHILDRENS HOSPITAL OF PHILADELPHIA
54,CHILDRENS HOSPITAL RESEARCH CENTER OAKLAND,433,0.086,-83.3858,42.66041,CHILDRENS HOSPITAL RESEARCH CENTER OAKLAND
55,CHINESE ACADEMY OF SCIENCES,1173,0.232,116.39723,39.9075,"CHINESE ACADEMY OF SCIENCES, Beijing"
56,CHINESE UNIVERSITY OF HONG KONG,350,0.069,114.15769,22.28552,CHINESE UNIVERSITY OF HONG KONG
57,CHONNAM NATIONAL UNIVERSITY,269,0.053,126.91556,35.15472,"CHONNAM NATIONAL UNIVERSITY, Gwangju, South Korea"
58,CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER,463,0.092,2.16667,7.25,CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER
59,CITY OF HOPE,227,0.045,-93.59077,33.66776,CITY OF HOPE
60,CLERMONT UNIV,299,0.059,-117.704099,34.121609,"Claremont Graduate University, Claremont, California"
61,UNIVERSITY OF CLAUDE BERNARD LYON 1,365,0.072,4.84671,45.74846,"Claude Bernard University Lyon 1, Lyon, France"
62,CLEVELAND CLINIC FOUNDATION,743,0.147,-1.189,54.525,"CLEVELAND CLINIC FOUNDATION, Cleveland"
63,COLUMBIA UNIVERSITY,2005,0.397,-73.96125,40.80899,COLUMBIA UNIVERSITY
64,COMENIUS UNIVERSITY BRATISLAVA,636,0.126,17.10674,48.14816,COMENIUS UNIVERSITY BRATISLAVA
65,CONCORDIA UNIVERSITY CANADA,223,0.044,-73.5771,45.49741,CONCORDIA UNIVERSITY CANADA
66,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,486,0.096,-60,-36,"CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS, Buenos Aires, Argentina"
67,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,928,0.184,-4,40,"CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, spain"
68,CORNELL UNIVERSITY,985,0.195,-76.483,42.44702,CORNELL UNIVERSITY
69,CZECH ACADEMY OF SCIENCES,618,0.122,14.42076,50.08804,"CZECH ACADEMY OF SCIENCES, Prague, Czech Republic"
70,CZECH TECHNICAL UNIVERSITY PRAGUE,515,0.102,14.42076,50.08804,CZECH TECHNICAL UNIVERSITY PRAGUE
71,DALHOUSIE UNIVERSITY,1934,0.383,-63.57239,44.64533,"DALHOUSIE UNIVERSITY, Halifax"
72,DANA FARBER CANCER INSTITUTE,850,0.168,-71.10713,42.33756,DANA FARBER CANCER INSTITUTE
73,DARTMOUTH COLLEGE,331,0.065,-72.28641,43.70035,DARTMOUTH COLLEGE
74,DESY,503,0.1,9.87699,53.57476,"Deutsches Elektronen-Synchrotron, Hamburg"
75,DOGUS UNIVERSITY,423,0.084,28.94966,41.01384,"DOGUS UNIVERSITY, Istanbul, Turkey"
76,DORTMUND UNIVERSITY OF TECHNOLOGY,474,0.094,10.5,51.5,"DORTMUND UNIVERSITY OF TECHNOLOGY, Germany"
77,DRESDEN UNIVERSITY OF TECHNOLOGY,885,0.175,10.5,51.5,"DRESDEN UNIVERSITY OF TECHNOLOGY, germany"
78,DUKE UNIVERSITY,1944,0.385,-78.94001,36.00153,DUKE UNIVERSITY
79,DUMLUPINAR UNIVERSITY,237,0.047,34.91155,39.05901,"DUMLUPINAR UNIVERSITY, Turkey"
80,EBERHARD KARLS UNIVERSITY OF TUBINGEN,285,0.056,9.05222,48.52266,EBERHARD KARLS UNIVERSITY OF TUBINGEN
81,ELI LILLY COMPANY,203,0.04,-86.242249,39.845697,"ELI LILLY COMPANY, Indianapolis, IN"
82,EMORY UNIVERSITY,936,0.185,-84.32348,33.79138,EMORY UNIVERSITY
83,ENVIRONM CANADA,1557,0.308,-113.64258,60.10867,ENVIRONM CANADA
84,ERASMUS UNIVERSITY ROTTERDAM,907,0.179,4.47917,51.9225,ERASMUS UNIVERSITY ROTTERDAM
85,EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH CERN,539,0.107,6.14569,46.20222,"EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH, Geneva, Switzerland"
86,EUROPEAN SPACE AGENCY,200,0.04,2.3488,48.85341,"EUROPEAN SPACE AGENCY, Paris"
87,FERMI NATIONAL ACCELERATOR LABORATORY,424,0.084,-88.190922,41.562205,"FERMI NATIONAL ACCELERATOR LABORATORY, Batavia, Illinois"
88,FISHERIES OCEANS CANADA,305,0.06,-113.64258,60.10867,FISHERIES OCEANS CANADA
89,HOWARD FLOREY INSTITUTE,306,0.061,144.96332,-37.814,"Florey Institute of Neuroscience and Mental Health, Melbourne"
90,FLORIDA STATE UNIVERSITY,238,0.047,-84.29184,30.44076,FLORIDA STATE UNIVERSITY
92,FOX CHASE CANCER CENTER,207,0.041,2.16667,7.25,FOX CHASE CANCER CENTER
93,FRED HUTCHINSON CANCER CENTER,459,0.091,2.16667,7.25,FRED HUTCHINSON CANCER CENTER
94,FREE UNIVERSITY OF BERLIN,565,0.112,13.41377,52.5233,FREE UNIVERSITY OF BERLIN
95,GAZI UNIVERSITY,408,0.081,32.85427,39.91987,"GAZI UNIVERSITY, Ankara, Turkey"
96,GAZIANTEP UNIVERSITY,452,0.089,34.3,38.2333,GAZIANTEP UNIVERSITY
97,GEORGE WASHINGTON UNIVERSITY,241,0.048,-122.31167,47.66028,GEORGE WASHINGTON UNIVERSITY
98,GEORGETOWN UNIVERSITY,242,0.048,-77.07258,38.90727,GEORGETOWN UNIVERSITY
99,GERMAN CANCER RESEARCH CENTER,441,0.087,2.16667,7.25,GERMAN CANCER RESEARCH CENTER
100,GHENT UNIVERSITY,391,0.077,3.71667,51.05,"GHENT UNIVERSITY, Ghent, Belgium"
101,GODDARD SPACE FLIGHT CENTER,307,0.061,-76.85247,38.99233,GODDARD SPACE FLIGHT CENTER
102,GOETHE UNIVERSITY FRANKFURT,332,0.066,8.67185,50.11035,GOETHE UNIVERSITY FRANKFURT
103,GUSTAVE ROUSSY,256,0.051,2.35992,48.7939,"GUSTAVE ROUSSY, Villejuif, France"
104,H LEE MOFFITT CANCER CENTER RESEARCH INSTITUTE,292,0.058,15.9333,57.35,H LEE MOFFITT CANCER CENTER RESEARCH INSTITUTE
105,HAMILTON HLTH SCI,534,0.106,-72.225,7.76694,HAMILTON HLTH SCI
106,HAMPTON UNIV,452,0.089,-76.333314,37.023406,"Hampton University, Virginia"
107,HANNOVER MEDICAL SCHOOL,287,0.057,9.73322,52.37052,"HANNOVER MEDICAL SCHOOL, Hanover, Germany"
108,HARVARD UNIVERSITY,5424,1.073,-71.11644,42.37843,HARVARD UNIVERSITY
109,HEBREW UNIVERSITY OF JERUSALEM,301,0.06,35.21633,31.76904,HEBREW UNIVERSITY OF JERUSALEM
110,HEINRICH HEINE UNIVERSITY DUSSELDORF,214,0.042,6.79417,51.1903,HEINRICH HEINE UNIVERSITY DUSSELDORF
111,HELSINKI UNIVERSITY CENTRAL HOSPITAL,267,0.053,24.93545,60.16952,"HELSINKI UNIVERSITY CENTRAL HOSPITAL, Helsinki Finland"
112,HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION KEK,517,0.102,140.1,36.2,"HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION, Tsukuba, Ibaraki Prefecture, Japan"
113,HIROSHIMA INST TECHNOL,433,0.086,139.75309,35.68536,"Hiroshima Institute of Technology, Japan"
114,HLTH CANADA,248,0.049,-113.64258,60.10867,HLTH CANADA
115,HORIA HULUBEI NATIONAL INSTITUTE OF PHYSICS NUCLEAR ENGINEERING,445,0.088,26.03333,44.35,"HORIA HULUBEI NATIONAL INSTITUTE OF PHYSICS NUCLEAR ENGINEERING, Magurele, Romania "
116,HOSPITAL CLINIC DE BARCELONA,208,0.041,2.15899,41.38879,HOSPITAL CLINIC DE BARCELONA
117,HOSPITAL FOR SICK CHILDREN SICKKIDS,11959,2.366,-79.4163,43.70011,"HOSPITAL FOR SICK CHILDREN, Toronto"
118,HOSPITAL UNIVERSITARI VALL D HEBRON,241,0.048,35.0938,31.52935,HOSPITAL UNIVERSITARI VALL D HEBRON
119,HOWARD HUGHES MEDICAL INSTITUTE,271,0.054,-77.176975,38.491085,"HOWARD HUGHES MEDICAL INSTITUTE,  Chevy Chase, Maryland"
120,HUMBOLDT UNIVERSITY OF BERLIN,1006,0.199,13.41377,52.5233,HUMBOLDT UNIVERSITY OF BERLIN
121,HUNGARIAN ACADEMY OF SCIENCES,530,0.105,19.03991,47.49801,"HUNGARIAN ACADEMY OF SCIENCES, Budapest"
122,ICAHN SCH MED MT SINAI,217,0.043,-73.02955,40.94704,ICAHN SCH MED MT SINAI
123,MOUNT SINAI SCHOOL OF MEDICINE,745,0.147,-73.988194,40.743451,"Icahn School of Medicine, New York"
124,IMPERIAL COLLEGE LONDON,1055,0.209,-0.1278328,51.5072648,IMPERIAL COLLEGE LONDON
125,INDIANA UNIVERSITY BLOOMINGTON,653,0.129,-93.29828,44.8408,INDIANA UNIVERSITY BLOOMINGTON
126,INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS,418,0.083,-86.15804,39.76838,INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS
128,INST CLIN EVALUAT SCI,1500,0.297,-72.225,7.76694,INST CLIN EVALUAT SCI
129,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM,1061,0.21,2,46,"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE, France"
130,INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE,624,0.123,5.71667,45.16667,INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE
131,INST WORK HLTH,305,0.06,-79.395656,43.6628917,"Institute For Work & Health, Toronto"
132,INSTITUTE OF CANCER RESEARCH UK,329,0.065,-2.69531,54.75844,INSTITUTE OF CANCER RESEARCH UK
133,INSTITUTE OF HIGH ENERGY PHYSICS IHEP,530,0.105,116.39723,39.9075,"INSTITUTE OF HIGH ENERGY PHYSICS, Beijing"
134,INTERNATIONAL SCHOOL FOR ADVANCED STUDIES,311,0.062,13.78,45.64861,"INTERNATIONAL SCHOOL FOR ADVANCED STUDIES, Trieste, Italy"
135,IOWA STATE UNIVERSITY,597,0.118,-93.64996,42.0253,IOWA STATE UNIVERSITY
136,ISTANBUL TEKNIK UNIVERSITY,250,0.049,28.94966,41.01384,"ISTANBUL TEKNIK UNIVERSITY, Istanbul Turkey"
137,ISTITUTO NAZIONALE ASTROFISICA ITALY,319,0.063,12.83333,42.83333,ISTITUTO NAZIONALE ASTROFISICA ITALY
138,ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA INGV,408,0.081,12.4839,41.89474,"ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA, Rome"
139,JAGIELLONIAN UNIVERSITY,498,0.099,19.93658,50.06143,"JAGIELLONIAN UNIVERSITY, Krakow, Poland"
140,JET PROPULSION LABORATORY,379,0.075,-120.45067,34.90362,"JET PROPULSION LABORATORY, California"
141,JOHANNES GUTENBERG UNIVERSITY OF MAINZ,693,0.137,8.26882,50.00098,JOHANNES GUTENBERG UNIVERSITY OF MAINZ
142,JOHNS HOPKINS UNIVERSITY,2013,0.398,-76.62057,39.32898,JOHNS HOPKINS UNIVERSITY
143,JOHNSON JOHNSON,244,0.048,-94.82226,38.88376,JOHNSON JOHNSON
144,JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA,682,0.135,100,60,JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA
145,JOSEPH FOURIER UNIVERSITY,787,0.156,5.71667,45.16667,"JOSEPH FOURIER UNIVERSITY, Grenoble"
146,JOZEF STEFAN INSTITUTE,435,0.086,14.50513,46.05108,"JOZEF STEFAN INSTITUTE, Ljubljana, Slovenia"
147,JUSTUS LIEBIG UNIVERSITY GIESSEN,494,0.098,8.65,50.58333,JUSTUS LIEBIG UNIVERSITY GIESSEN
148,KARLSRUHE INSTITUTE OF TECHNOLOGY,295,0.058,8.41167,49.00944,KARLSRUHE INSTITUTE OF TECHNOLOGY
149,KAROLINSKA INSTITUTET,967,0.191,15,62,"KAROLINSKA INSTITUTET, sweden"
150,KING SAUD UNIVERSITY,236,0.047,46.72185,24.68773,"KING SAUD UNIVERSITY, Riyadh, Saudi Arabia"
151,KINGS COLLEGE LONDON,826,0.163,-0.1278328,51.5072648,KINGS COLLEGE LONDON
152,KOBE UNIVERSITY,483,0.096,139.75309,35.68536,"KOBE UNIVERSITY, Japan"
153,KOREA INSTITUTE OF SCIENCE TECHNOLOGY,207,0.041,-78.0130556,38.6313889,KOREA INSTITUTE OF SCIENCE TECHNOLOGY
154,KU LEUVEN,754,0.149,4.70093,50.87959,KU LEUVEN
155,KYOTO UNIVERSITY,673,0.133,139.75309,35.68536,"KYOTO UNIVERSITY, Japan"
156,KYUNGPOOK NATIONAL UNIVERSITY,237,0.047,128.59111,35.87028,"KYUNGPOOK NATIONAL UNIVERSITY, Daegu, South Korea"
157,KYUSHU UNIVERSITY,377,0.075,130.41806,33.60639,"KYUSHU UNIVERSITY, Fukuoka, Japan"
158,LAB INSTRUMENTACAO FIS EXPT PARTICULAS LIP,291,0.058,-49.7425,-21.67861,LAB INSTRUMENTACAO FIS EXPT PARTICULAS LIP
159,LAKEHEAD UNIVERSITY,226,0.045,-89.31683,48.4001,"LAKEHEAD UNIVERSITY, Thunder Bay, Ontario"
160,LANCASTER UNIVERSITY,624,0.123,-2.78679,54.0082,LANCASTER UNIVERSITY
161,LAURENTIAN UNIVERSITY,201,0.04,-80.99001,46.49,"LAURENTIAN UNIVERSITY, Sudbury, Ontario"
162,LAVAL UNIVERSITY,1418,0.281,-105.50115,50.38335,"LAVAL UNIVERSITY, Canada"
163,LAWRENCE BERKELEY NATIONAL LABORATORY,978,0.194,-122.288162,37.870415,"LAWRENCE BERKELEY NATIONAL LABORATORY, california"
164,LEIDEN UNIVERSITY,764,0.151,5.75,52.5,"LEIDEN UNIVERSITY, Netherlands"
165,LOMONOSOV MOSCOW STATE UNIVERSITY,656,0.13,37.5,55.75,"LOMONOSOV MOSCOW STATE UNIVERSITY, Moscow"
166,LONDON HLTH SCI CTR,575,0.114,-81.23304,42.98339,"London Health Sciences Centre, London, Ontario Canada"
167,LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE,290,0.057,-0.1278328,51.5072648,"LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE, London, England"
168,LOUISIANA STATE UNIVERSITY,233,0.046,-91.8749,31.1801,LOUISIANA STATE UNIVERSITY
170,LOUISIANA TECHNICAL UNIVERSITY,515,0.102,-91.8749,31.1801,LOUISIANA TECHNICAL UNIVERSITY
171,LUND UNIVERSITY,851,0.168,15,62,"LUND UNIVERSITY, Sweden"
172,MAASTRICHT UNIVERSITY,430,0.085,5.75,52.5,"MAASTRICHT UNIVERSITY, Netherlands"
173,MANHATTAN COLL,404,0.08,-73.963349,40.796089,"Manhattan College, New York"
174,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,1284,0.254,-71.09172,42.35954,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT
175,MAX PLANCK SOCIETY,1522,0.301,10.5,51.5,"MAX PLANCK Institute, germany"
176,MAYO CLINIC,1573,0.311,-111.79229,33.584672,"MAYO CLINIC, Scottsdale, AZ"
177,MCGILL UNIVERSITY,5217,1.032,-73.58781,45.50884,"MCGILL UNIVERSITY, Montreal"
178,MCMASTER UNIVERSITY,25138,4.974,-79.91927,43.25877,MCMASTER UNIVERSITY
179,MCMASTER UNIV,240,0.047,-79.84963,43.25011,"MCMASTER UNIVersity, Hamilton Canada"
180,MEDICAL COLLEGE OF WISCONSIN,446,0.088,-89.823968,43.957802,MEDICAL COLLEGE OF WISCONSIN
181,MEDICAL UNIVERSITY OF SOUTH CAROLINA,378,0.075,-81.00009,34.00043,MEDICAL UNIVERSITY OF SOUTH CAROLINA
182,MEDICAL UNIVERSITY OF VIENNA,395,0.078,16.37208,48.20849,MEDICAL UNIVERSITY OF VIENNA
183,MEMORIAL SLOAN KETTERING CANCER CENTER,938,0.186,2.16667,7.25,MEMORIAL SLOAN KETTERING CANCER CENTER
184,MEMORIAL UNIVERSITY NEWFOUNDLAND,749,0.148,-56,52,MEMORIAL UNIVERSITY NEWFOUNDLAND
185,MICHIGAN STATE UNIVERSITY,964,0.191,-84.47859,42.73087,MICHIGAN STATE UNIVERSITY
186,ORTA DOGU TEKNIK UNIVERSITY,252,0.05,32.85427,39.91987,"Middle East Technical University, Ankara, Turkey"
187,UNIVERSITE MOHAMMED PREMIER,414,0.082,-1.90764,34.68052,"Mohamed Premier University, Oujda, Morocco"
188,MOHAMMED V UNIVERSITY,416,0.082,-6.83255,34.01325,"MOHAMMED V UNIVERSITY, Rabat, Morocco"
189,MONASH UNIVERSITY,667,0.132,144.96332,-37.814,"MONASH UNIVERSITY, Melbourne, Australia"
190,QUEEN ELIZABETH 2 HLTH SCI CTR,206,0.041,-63.5877149,44.6453097,"QEII Health Sciences Centre, Halifax, NS B3H 3G1, Canada"
191,NAGASAKI INST APPL SCI,432,0.085,-72.225,7.76694,NAGASAKI INST APPL SCI
192,NAGOYA UNIVERSITY,528,0.104,139.75309,35.68536,"NAGOYA UNIVERSITY, Japan"
193,NANJING UNIVERSITY,515,0.102,105,35,"NANJING UNIVERSITY, China"
194,NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA,760,0.15,-77.036366,38.895112,"NATIONAL AERONAUTICS SPACE ADMINISTRATION, Washington, DC"
195,NIH NATIONAL CANCER INSTITUTE NCI,662,0.131,-76.477612,38.281811,"NATIONAL CANCER INSTITUTE, Rockville, Maryland "
196,FOM NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS,564,0.112,4.93629,52.34918,"National Institute for Subatomic Physics, Watergraafsmeer, Netherlands"
197,NATIONAL INSTITUTE OF NUCLEAR PARTICLE PHYSICS IN2P3,761,0.151,2,46,"NATIONAL INSTITUTE OF NUCLEAR PARTICLE PHYSICS, france"
198,NATIONAL INSTITUTES OF HEALTH NIH USA,1771,0.35,-78.936959,39.667034,NATIONAL INSTITUTES OF HEALTH NIH USA
199,NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA,205,0.041,-83.724387,44.340449,NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA
200,NATIONAL RESEARCH CENTRE KURCHATOV INSTITUTE,511,0.101,37.5,55.75,"NATIONAL RESEARCH CENTRE KURCHATOV INSTITUTE, Moscow"
201,NATIONAL RESEARCH COUNCIL CANADA,380,0.075,-113.64258,60.10867,NATIONAL RESEARCH COUNCIL CANADA
202,NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI MOSCOW ENGINEERING PHYSICS INSTITUTE,478,0.095,37.5,55.75,"NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI, Moscow"
203,NATL SCI EDUC CTR PARTICLE HIGH ENERGY PHYS,404,0.08,27.5666667,53.9,"National Scientific and Educational Centre of Particle and High Energy Physics,  Minsk, Belarus"
204,NATIONAL TECHNICAL UNIVERSITY OF ATHENS,451,0.089,23.71622,37.97945,NATIONAL TECHNICAL UNIVERSITY OF ATHENS
205,NATIONAL UNIVERSITY OF LA PLATA,434,0.086,-57.95453,-34.92145,NATIONAL UNIVERSITY OF LA PLATA
206,NATIONAL UNIVERSITY OF SINGAPORE,324,0.064,103.77972,1.29611,NATIONAL UNIVERSITY OF SINGAPORE
207,NATL ACAD SCI BELARUS,427,0.084,28,53,NATL ACAD SCI BELARUS
208,NEW YORK UNIVERSITY,1278,0.253,-73.99597,40.72871,NEW YORK UNIVERSITY
209,NEWCASTLE UNIVERSITY UK,332,0.066,-2.69531,54.75844,NEWCASTLE UNIVERSITY UK
210,NIELS BOHR INSTITUTE,570,0.113,12.56553,55.67594,"NIELS BOHR INSTITUTE, Copenhagen"
211,NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,268,0.053,-77.132972,39.019489,"NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI, Bethesda, MD"
213,NORTHERN ILLINOIS UNIVERSITY,475,0.094,-88.77592,41.93753,NORTHERN ILLINOIS UNIVERSITY
214,NORTHWESTERN UNIVERSITY,992,0.196,-87.6745,42.05559,NORTHWESTERN UNIVERSITY
215,NOVOSIBIRSK STATE UNIVERSITY,327,0.065,82.9346,55.0415,"NOVOSIBIRSK STATE UNIVERSITY, Novosibirsk, Russia"
216,OBSERVATOIRE DE PARIS,233,0.046,2.3488,48.85341,OBSERVATOIRE DE PARIS
217,OHIO STATE UNIVERSITY,1537,0.304,-83.0188,39.99618,OHIO STATE UNIVERSITY
218,OKAYAMA UNIVERSITY,642,0.127,133.91858,34.68565,OKAYAMA UNIVERSITY
219,OKLAHOMA STATE UNIVERSITY STILLWATER,536,0.106,-96.9247,35.5376,OKLAHOMA STATE UNIVERSITY STILLWATER
221,ONTARIO MINIST ENVIRONM,234,0.046,-76.1496,45.1953,ONTARIO MINIST ENVIRONM
222,OPEN UNIVERSITY UK,279,0.055,-2.69531,54.75844,OPEN UNIVERSITY UK
